Account ID,Industry,Vertical, Total BRR , AnnualRevenue ,NumberOfEmployees, DandB Revenue ,DandB Total Employees
Acct-000273,Telecommunications,Wireless," $6,084,906.00 "," $248,747,365.62 ",397," $356,943,618.45 ",397
Acct-000013,Telecommunications,National Carrier/ISP," $5,117,529.00 "," $10,779,768,901.96 ",40000," $10,779,768,901.96 ",40000
Acct-000036,Telecommunications,Wireless," $5,105,015.00 "," $9,277,969,886.09 ",34518," $19,094,310,655.17 ",34518
Acct-000025,Telecommunications,National Carrier/ISP," $4,234,871.00 "," $6,248,394,000.00 ",10040," $7,587,138,000.00 ",12500
Acct-000004,Telecommunications,Wireless," $3,510,947.00 "," $29,669,960,000.00 ",30000," $32,588,090,000.00 ",30000
Acct-000002,Telecommunications,National Carrier/ISP," $3,344,939.00 "," $25,378,360,491.80 ",43350," $25,049,031,785.71 ",43350
Acct-000053,Telecommunications,National Carrier/ISP," $2,950,069.00 "," $16,503,800,000.00 ",43000," $16,503,800,000.00 ",43000
Acct-000009,Telecommunications,National Carrier/ISP," $1,915,889.00 "," $5,374,799,000.00 ",12626," $5,315,606,600.00 ",12326
Acct-000236,Telecommunications,Wireless," $1,647,409.00 "," $135,350,522,000.00 ",281450," $135,350,522,000.00 ",281450
Acct-000034,Telecommunications,National Carrier/ISP," $1,541,759.00 ", $-   ,0, $-   ,0
Acct-000007,Telecommunications,PTT," $1,334,080.00 ", $-   ,0, $-   ,0
Acct-000072,Telecommunications,National Carrier/ISP," $1,307,326.00 "," $109,048,721.12 ",431," $207,078,004.35 ",475
Acct-000038,Media & Content,Internet Content & Software," $1,183,550.00 "," $69,139,858,000.00 ",61814," $69,139,858,000.00 ",61814
Acct-000167,Telecommunications,National Carrier/ISP," $1,156,722.80 ", $-   ,0, $-   ,0
Acct-000579,Telecommunications,National Carrier/ISP," $1,123,818.23 ", $-   ,0, $-   ,0
Acct-001417,Telecommunications,National Carrier/ISP," $1,077,530.52 ", $-   ,0, $-   ,0
Acct-001900,Telecommunications,National Carrier/ISP," $1,057,018.00 ", $-   ,0, $-   ,0
Acct-000058,Media & Content,Internet Content & Software," $967,729.00 "," $98,659,532,000.00 ",230800," $98,659,532,000.00 ",230800
Acct-000451,Telecommunications,National Carrier/ISP," $938,469.45 ", $-   ,400, $-   ,0
Acct-000039,Media & Content,Cable & Satellite," $881,860.00 "," $8,993,188.00 ",23800," $8,993,188,000.00 ",23800
