CPQ ID,Account ID,CreatedDate,Product Group, X36 MRC List , X36 NRR List , X36 NPV List ,Building ID,Market,Street Address,City,State,Postal Code,Network Proximity,On Zayo Network Status
CPQ-000001,Acct-000001,10/4/16,Ethernet," $1,621.68 ", $922.00 ," $11,894.29 ",Bldg-108671,Denver,9706 E Easter Ave,Englewood,CO,80112,109.6,On Zayo Network
CPQ-000002,Acct-000002,10/4/16,Wavelengths - Metro," $1,445.92 "," $2,766.00 "," $19,926.89 ",Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,On Zayo Network
CPQ-000002,Acct-000002,10/4/16,Wavelengths - Metro," $1,445.92 "," $2,766.00 "," $19,926.89 ",Bldg-111386,Denver,3431 N Windsor Dr,Aurora,CO,80011,779.17,On Zayo Network
CPQ-000003,Acct-000003,10/4/16,Ethernet," $1,420.38 ", $922.00 ," $28,437.18 ",Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000004,Acct-000004,10/4/16,Ethernet," $1,553.61 "," $1,613.50 "," $28,654.35 ",Bldg-038523,Atlanta,375 Riverside Pkwy,Lithia Springs,GA,30122,274.12,On Zayo Network
CPQ-000005,Acct-000005,10/4/16,IP Services," $2,633.23 ", $922.00 ," $67,649.89 ",Bldg-120678,Dallas,6606 Lyndon B Johnson Fwy,Dallas,TX,75240,601.38,On Zayo Network
CPQ-000006,Acct-000002,10/4/16,Ethernet, $467.93 , $461.00 ," $10,305.45 ",Bldg-014141,Denver,4300 Brighton Blvd,Denver,CO,80216,247,On Zayo Network
CPQ-000007,Acct-000006,10/4/16,Ethernet," $4,474.40 ", $922.00 ," $31,235.65 ",Bldg-352629,Denver,560 Golden Ridge Rd,Golden,CO,80401,661.78,Not on Zayo Network
CPQ-000008,Acct-000007,10/4/16,Ethernet, $666.15 , $-   ," $11,560.17 ",Bldg-018754,Atlanta,180 Peachtree St NW,Atlanta,GA,30303,1055.22,On Zayo Network
CPQ-000008,Acct-000007,10/4/16,Ethernet, $666.15 , $-   ," $11,560.17 ",Bldg-068789,Atlanta,3225 Cumberland Blvd SE,Atlanta,GA,30339,93.75,On Zayo Network
CPQ-000009,Acct-000007,10/4/16,Ethernet," $1,761.66 ", $922.00 ," $12,843.38 ",Bldg-068789,Atlanta,3225 Cumberland Blvd SE,Atlanta,GA,30339,93.75,On Zayo Network
CPQ-000010,Acct-000008,10/4/16,Ethernet," $1,451.97 ", $691.50 ," $10,518.85 ",Bldg-132256,Denver,4 Inverness Ct E,Englewood,CO,80112,628.87,Build in Progress
CPQ-000011,Acct-000007,10/4/16,Ethernet, $993.93 , $922.00 ," $16,611.38 ",Bldg-061719,Atlanta,12600 Deerfield Pkwy,Alpharetta,GA,30004,91.05,On Zayo Network
CPQ-000011,Acct-000007,10/4/16,Ethernet, $993.93 , $922.00 ," $16,611.38 ",Bldg-068789,Atlanta,3225 Cumberland Blvd SE,Atlanta,GA,30339,93.75,On Zayo Network
CPQ-000012,Acct-000009,10/4/16,Ethernet," $2,440.43 ", $922.00 ," $27,072.86 ",Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000012,Acct-000009,10/4/16,Ethernet," $2,440.43 ", $922.00 ," $27,072.86 ",Bldg-126458,Dallas,12770 Merit Dr,Dallas,TX,75251,112.66,Not on Zayo Network
CPQ-000013,Acct-000007,10/4/16,Ethernet," $2,865.40 ", $922.00 ," $20,326.76 ",Bldg-061718,Atlanta,13000 Deerfield Pkwy,Alpharetta,GA,30004,393.44,Not on Zayo Network
CPQ-000013,Acct-000007,10/4/16,Ethernet," $2,865.40 ", $922.00 ," $20,326.76 ",Bldg-068789,Atlanta,3225 Cumberland Blvd SE,Atlanta,GA,30339,93.75,On Zayo Network
CPQ-000014,Acct-000007,10/4/16,Ethernet, $865.98 , $-   ," $15,060.12 ",Bldg-015168,Denver,1850 Pearl St,Denver,CO,80203,103.07,On Zayo Network
CPQ-000015,Acct-000010,10/4/16,Ethernet," $1,108.65 ", $922.00 ," $22,024.08 ",Bldg-119712,Dallas,2101 Cedar Springs Rd,Dallas,TX,75201,139.25,On Zayo Network
CPQ-000016,Acct-000011,10/4/16,zColo, $-   , $-   , $-   ,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000017,Acct-000012,10/4/16,IP Services," $3,291.54 ", $922.00 ," $85,748.56 ",Bldg-109234,Denver,555 17th St,Denver,CO,80202,97.89,On Zayo Network
