Site ID,Account ID,Building ID,Market,Site Address,City,State,Postal Code,Network Proximity,On Zayo Network Status
Site-000001,Acct-000025,Bldg-115472,Atlanta,953 Donnelly Ave SW,Atlanta,GA,30310,116.91,Not on Zayo Network
Site-000002,Acct-001331,Bldg-115472,Atlanta,953 Donnelly Ave SW,Atlanta,GA,30310,116.91,Not on Zayo Network
Site-000003,Acct-001359,Bldg-115475,Atlanta,3159 Royal Dr,Alpharetta,GA,30005,979.44,On Zayo Network
Site-000004,Acct-001360,Bldg-115475,Atlanta,3159 Royal Dr,Alpharetta,GA,30022,979.44,On Zayo Network
Site-000005,Acct-000009,Bldg-115476,Atlanta,1593 Northeast Expy NE,Atlanta,GA,30329,177.41,Not on Zayo Network
Site-000006,Acct-000008,Bldg-115549,Atlanta,100 Peachtree St NE,Atlanta,GA,30303,519.98,On Zayo Network
Site-000007,Acct-001361,Bldg-115549,Atlanta,100 Peachtree St NE,Atlanta,GA,30303,519.98,On Zayo Network
Site-000008,Acct-000536,Bldg-115549,Atlanta,100 Peachtree St NE,Atlanta,GA,30303,519.98,On Zayo Network
Site-000009,Acct-000072,Bldg-115550,Atlanta,1000 Holcomb Woods Pkwy,Roswell,GA,30076,562.01,On Zayo Network
Site-000010,Acct-000008,Bldg-115551,Atlanta,105 Collier Rd NW,Atlanta,GA,30309,356.89,On Zayo Network
Site-000011,Acct-000008,Bldg-115552,Atlanta,10820 Abbotts Bridge Rd,Duluth,GA,30097,641.52,On Zayo Network
Site-000012,Acct-001362,Bldg-115552,Atlanta,10820 Abbotts Bridge Rd,Duluth,GA,30097,641.52,On Zayo Network
Site-000013,Acct-000167,Bldg-115565,Atlanta,16 Forest Pkwy,Forest Park,GA,30297,586.54,On Zayo Network
Site-000014,Acct-000013,Bldg-115565,Atlanta,16 Forest Pkwy,Forest Park,GA,30297,586.54,On Zayo Network
Site-000015,Acct-000008,Bldg-115565,Atlanta,16 Forest Pkwy,Forest Park,GA,30297,586.54,On Zayo Network
Site-000016,Acct-000008,Bldg-115644,Atlanta,53 Perimeter Ctr E,Atlanta,GA,30346,2146.59,On Zayo Network
Site-000017,Acct-000008,Bldg-115630,Atlanta,3855 Pleasant Hill Rd,Duluth,GA,30096,369.05,Not on Zayo Network
Site-000018,Acct-000820,Bldg-115630,Atlanta,3855 Pleasant Hill Rd,Duluth,GA,30096,369.05,Not on Zayo Network
Site-000019,Acct-000008,Bldg-115659,Atlanta,5670 Peachtree Dunwoody Rd,Atlanta,GA,30342,132.27,On Zayo Network
Site-000020,Acct-000008,Bldg-115656,Atlanta,5600 Roswell Rd,Atlanta,GA,30342,187.28,On Zayo Network
